plant_code,port,unnamed:_2,unnamed:_3,unnamed:_4,unnamed:_5,unnamed:_6,unnamed:_7,unnamed:_8,unnamed:_9,unnamed:_10,unnamed:_11,unnamed:_12,unnamed:_13
PLANT01,PORT01,,,,,,,,,,,,
PLANT01,PORT02,,,,,,,,,,,,
PLANT02,PORT03,,,,,,,,,,,,
PLANT03,PORT04,,,,,,,,,,,,
PLANT04,PORT05,,,,,,,,,,,,
PLANT05,PORT06,,,,,,,,,,,,
PLANT06,PORT06,,,,,,,,,,,,
PLANT07,PORT01,,,,,,,,,,,,
PLANT07,PORT02,,,,,,,,,,,,
PLANT08,PORT04,,,,,,,,,,,,
PLANT09,PORT04,,,,,,,,,,,,
PLANT10,PORT01,,,,,,,,,,,,
PLANT10,PORT02,,,,,,,,,,,,
PLANT11,PORT04,,,,,,,,,,,,
PLANT12,PORT04,,,,,,,,,,,,
PLANT13,PORT04,,,,,,,,,,,,
PLANT14,PORT07,,,,,,,,,,,,
PLANT15,PORT08,,,,,,,,,,,,
PLANT16,PORT09,,,,,,,,,,,,
PLANT17,PORT10,,,,,,,,,,,,
PLANT18,PORT11,,,,,,,,,,,,
PLANT19,PORT04,,,,,,,,,,,,
